	TCGA-44-6777-11A-01R-1858-07	TCGA-91-6835-11A-01R-1858-07	TCGA-44-2668-11A-01R-1758-07	TCGA-50-5933-11A-01R-1755-07	TCGA-49-6745-11A-01R-1858-07	TCGA-49-6742-11A-01R-1858-07	TCGA-44-2655-11A-01R-1758-07	TCGA-50-5932-11A-01R-1755-07	TCGA-44-2661-11A-01R-1758-07	TCGA-44-3396-11A-01R-1758-07	TCGA-91-6836-11A-01R-1858-07	TCGA-49-6743-11A-01R-1858-07	TCGA-44-2665-11A-01R-1758-07	TCGA-44-6776-11A-01R-1858-07	TCGA-49-6744-11A-01R-1858-07	TCGA-44-2657-11A-01R-1758-07	TCGA-50-5930-11A-01R-1755-07	TCGA-44-6778-11A-01R-1858-07	TCGA-44-6777-01A-11R-1858-07	TCGA-91-6835-01A-11R-1858-07	TCGA-44-2668-01A-01R-0946-07	TCGA-50-5933-01A-11R-1755-07	TCGA-49-6745-01A-11R-1858-07	TCGA-49-6742-01A-11R-1858-07	TCGA-44-2655-01A-01R-0946-07	TCGA-50-5932-01A-11R-1755-07	TCGA-44-2661-01A-01R-1107-07	TCGA-44-3396-01A-01R-1206-07	TCGA-91-6836-01A-21R-1858-07	TCGA-49-6743-01A-11R-1858-07	TCGA-44-2665-01A-01R-0946-07	TCGA-44-6776-01A-11R-1858-07	TCGA-49-6744-01A-11R-1858-07	TCGA-44-2657-01A-01R-1107-07	TCGA-50-5930-01A-11R-1755-07	TCGA-44-6778-01A-11R-1858-07
?|729884	2.4855	1.8789	0.384	0.5683	3.69	0.6029	3.698	5.6818	4.2701	0.8884	0.0	4.902	1.3937	0.7092	1.956	5.6915	0.0	0.5896	409.2583	106.0948	476.288	501.5882	2755.774	15.66	76.3952	396.0931	0.9606	1095.0996	46.7578	105.8058	341.556	167.3851	78.4114	26.8456	34.5294	1.9036
?|90288	50.5385	782.8781	7.2965	182.4123	219.1882	303.8433	108.7827	24.3506	29.891	118.1586	79.6942	7.0028	16.7247	103.5461	28.0359	61.4684	6.8337	27.7123	3.6823	62.3025	7.9154	1.0205	7.8624	21.6257	16.5739	0.4156	35.0624	7.3842	4.4111	4.3407	1.8975	15.8046	17.3116	23.4899	26.561	17.132
A2M|2	116544.9959	77953.782	73240.7488	119507.7767	46490.7306	63109.7151	133594.6379	147059.9432	135432.6125	106784.4768	55831.1499	117781.3305	113644.1812	50136.0638	106528.3782	68335.7314	89846.3554	83907.9658	73887.8906	49523.1828	9562.5793	23954.2703	24111.5381	18082.4161	24295.8436	18739.3724	26540.4515	16616.6368	4956.7446	22003.771	9333.4725	29278.7141	40393.0448	47573.8121	25386.9778	53442.8299
AADAC|13	77.0505	125.8868	72.9647	519.9602	571.9557	82.5923	313.7134	226.461	50.7672	176.4975	117.1973	35.014	297.561	794.3262	37.8158	457.029	151.101	93.1604	3.1562	8.1264	0.5459	0.0	32.9238	19.3885	209.5041	4.1563	1767.5312	1.3426	0.0	5.9685	0.4744	408.7644	8.6558	181.8792	26.561	95.8122
ABCA10|10349	19.0555	95.9871	9.2166	52.8484	30.9963	10.2487	35.131	66.5584	36.0589	53.3046	42.9724	25.2101	17.0732	51.0638	31.9478	12.5213	28.8535	79.7347	1.0521	23.9278	1.6377	1.0205	2.9484	3.7286	9.0638	7.8969	39.8655	17.006	1.3233	2.1704	7.5901	7.9023	11.7108	14.7651	5.3122	11.4213
ABCA17P|650655	4.971	3.7578	0.768	2.2731	0.738	0.6029	2.1572	0.8117	1.4234	2.3691	2.3439	2.8011	5.5749	2.8369	1.304	6.2607	4.5558	6.4858	121.515	9.4808	1.6377	0.0	35.8722	2.2371	1.2948	0.0	40.8261	4.2515	5.2933	66.739	5.6926	3.592	49.389	26.1745	1.3281	2.5381
ABCA3|21	31225.3521	8363.0175	32078.341	24995.0277	9845.0185	26750.2638	13218.7982	22324.6753	15167.5318	27372.5187	19440.6952	18035.014	35417.77	25565.9574	24895.8435	34482.6409	41981.0175	16029.4811	4247.2383	2728.2167	619.8567	2251.7891	8907.1253	8132.7368	7414.9942	2084.788	2555.7157	2112.3294	3161.0057	2278.8931	2904.649	9451.8678	3303.4623	1785.2349	851.2814	14957.4873
ABCA4|24	33.9685	31.9414	51.8433	14.2066	11.0701	58.4778	18.49	8.1169	19.4529	22.5064	7.0318	18.9076	16.0279	19.8582	30.6438	14.798	9.1116	12.3821	78.9058	2178.781	34.118	349.0197	15.2334	25.3542	188.7867	7.0657	1949.5677	319.9821	13.6745	118.828	11.8596	11.4943	14.2566	53.0201	10.6244	8.8832
ABCA6|23460	267.6056	335.0718	139.7849	583.0374	174.1697	71.7408	289.9846	387.987	389.0571	323.9737	166.4202	246.4986	220.9059	190.0709	421.1899	233.9215	316.6287	406.25	197.7906	348.0813	71.5114	63.7828	98.2801	10.44	84.1642	68.1629	301.633	247.9302	10.1456	53.1742	360.0569	48.8506	202.1385	171.8121	112.8844	201.7766
ABCA9|10350	159.9006	289.3518	62.596	411.9903	140.9594	44.6119	307.5501	404.2208	257.1572	226.5447	83.6008	147.7591	95.4704	153.9007	241.2388	64.8833	183.7509	212.8538	70.4892	117.3815	25.3838	9.695	37.3464	7.4571	18.6456	31.5877	70.1249	158.6485	5.2933	45.5779	33.2068	28.7356	122.1996	84.5638	41.1696	121.8274
ABCB1|5243	198.0116	448.4326	201.2289	783.0658	757.9336	456.9706	418.49	572.2403	157.9951	393.2697	106.2589	579.8319	125.0871	51.773	414.6699	92.7718	184.5103	245.283	49.9737	184.1986	74.2409	29.085	68.3047	23.1171	59.3034	24.9377	51.8732	46.3191	16.3211	39.0667	20.8729	32.3276	136.4562	95.9732	21.2488	237.3096
ABCC2|1244	0.8285	13.1524	1.5361	4.5461	12.5461	4.8229	4.6225	0.8117	3.3212	4.7382	8.5945	7.0028	3.8328	7.8014	5.216	6.2607	3.0372	15.3302	3.6823	6.772	15.0119	7.1437	1.9656	1146.9053	222.1934	18.7032	14.4092	4.9228	2.2056	2221.3782	17.0778	15.0862	2.0367	9.396	11.9525	27.2843
ABCC3|8714	840.0994	1639.66	1360.5991	767.7227	340.2214	2527.2042	618.1818	364.4481	966.9491	1074.6805	893.0438	400.5602	955.7491	465.2482	593.969	772.9084	776.7654	785.3774	3768.0168	6035.2144	2216.5814	6514.5234	3567.5676	3595.824	8871.941	3933.9152	4391.4505	3189.9754	1368.7693	2296.7987	3629.981	10732.0402	2731.6701	3851.0067	2454.2403	612.9442
ABCC8|6833	19.0555	4.3841	6.1444	2.8413	2.214	12.6601	16.3328	12.1753	1.8978	40.8669	10.9384	4.2017	18.1185	21.2766	19.5599	19.9203	12.1488	20.6368	0.526	9.4808	0.0	0.0	0.4914	1.4914	6.9921	0.4156	3.3622	0.0	29.1134	1.0852	0.0	3.592	2.0367	1.3423	0.0	86.2944
ABCG1|9619	2797.8459	688.3065	4221.1982	1695.6954	2151.2915	2532.63	2146.0709	2590.9091	2222.8443	3008.1578	2411.14	2527.3109	4190.5923	1896.4539	2738.3863	2192.3734	2867.8815	1393.2783	1602.3146	1399.0971	797.2706	620.4794	817.199	1347.5019	460.1839	465.0873	1306.9164	1034.2358	629.9074	370.5914	810.7211	447.5575	877.2912	1166.443	673.3224	1497.4619
ABCG2|9429	394.3662	186.0118	495.3917	252.8768	457.5646	411.7558	990.755	352.2727	524.2781	582.5011	269.5539	964.986	647.7352	236.8794	956.4792	272.6238	231.5869	482.9009	117.3067	117.3815	28.3862	109.7065	135.6265	120.8054	149.1648	46.5503	100.8646	57.0597	23.82	608.79	91.0816	38.7931	291.2424	75.1678	111.5564	262.6904
ABI3BP|25890	3447.3902	3761.5729	1999.616	3160.108	2117.3432	1347.4002	4017.5655	4459.4156	4128.7494	5045.5792	2311.1316	2764.7059	2322.9965	2592.1986	6179.6251	2223.6767	2990.8884	4494.6934	874.8027	2511.0609	272.3985	139.3017	532.6781	155.1081	614.2691	367.4148	1007.2046	463.4146	40.5823	216.4948	233.3966	383.6207	1013.7475	1189.2617	679.9627	2211.2944
ABLIM3|22885	980.116	757.826	614.8233	831.9364	849.4465	760.211	1712.7889	1235.3896	1412.4669	1176.8477	820.3814	1383.0532	1427.1777	731.9149	1215.3219	867.3876	954.4419	1315.4481	563.9137	241.9865	298.6012	526.0808	1101.2285	185.6823	512.2362	104.3225	263.2085	140.2998	101.8968	194.2485	545.0664	218.3908	456.721	251.0067	152.726	674.4924
ACADL|33	298.2601	253.0262	344.086	630.2032	506.2731	285.7573	313.0971	538.961	349.6769	339.6689	448.4752	521.7087	637.2822	1019.1489	634.3928	313.6027	813.2118	574.2925	6.8385	23.0248	1.0918	0.0	54.5455	86.5026	109.284	12.8845	50.9126	2.4614	1.7644	11.9371	6.167	287.3563	45.8248	10.0671	9.2964	168.1472
ACMSD|130013	0.0	0.0	2.3041	2.8413	0.0	1.2057	0.0	0.0	0.0	0.2961	0.0	0.0	0.0	0.0	0.652	0.0	0.0	0.0	6.8385	0.4515	0.5459	2.5513	0.4914	2.9828	34.1836	3.325	0.4803	0.4475	0.0	0.0	3.3207	12.931	2.0367	0.0	3.9842	0.0
ACOXL|55289	324.7722	150.9389	289.5545	311.4079	278.9668	314.6948	185.8243	252.4351	126.2063	103.3518	340.6536	268.2073	265.5052	384.3972	280.3586	168.469	273.3485	193.3962	23.6718	56.8849	2.7294	0.5103	75.1843	32.8113	30.817	20.7814	145.5331	39.6062	3.0878	14.65	0.9488	121.408	108.4521	175.8389	10.6244	64.0863
ACR|49	11.599	6.263	15.361	4.5461	2.214	6.0286	10.7858	9.7403	5.6935	5.9227	7.0318	11.9048	9.0592	8.5106	14.3439	9.6756	3.0372	15.9198	0.526	2.2573	1.6377	4.0821	2.9484	3.7286	1.5538	0.4156	1.4409	0.4475	2.2056	10.8519	2.3719	1.4368	9.165	0.6711	10.6244	3.1726
ACSBG1|23205	19.884	239.8739	4.6083	44.3245	190.4059	102.4868	43.1433	22.7273	11.387	52.7124	25.7834	10.5042	8.0139	40.4255	17.6039	39.2715	6.0744	20.0472	3.1562	17.1558	0.5459	1.5308	6.8796	2.2371	8.8049	2.9094	13.9289	2.6852	0.0	0.5426	5.6926	3.592	6.11	15.4362	7.9683	4.4416
ACSM1|116285	40.5965	18.7891	22.6575	3.9778	72.3247	40.9947	9.5532	34.9026	21.3507	65.4462	10.9384	25.2101	13.9373	7.0922	16.2999	16.5054	34.9279	15.3302	12.0989	2.7088	8.1883	3.0616	28.9926	29.0828	18.1277	6.2344	22.0941	16.3348	2.6467	6.5111	17.5522	3.592	14.2566	23.4899	5.3122	5.0761
ACTG2|72	3028.169	955.1113	1075.2688	497.2297	1203.69	1280.4823	1670.5701	458.6039	1227.902	826.814	371.1249	733.8936	1607.6655	1853.9007	1219.2339	524.189	350.038	488.2075	538.6639	244.6953	981.508	961.3348	504.1769	426.5474	615.046	39.9002	431.7963	404.1173	70.1367	689.0939	1314.9905	114.9425	395.112	351.6779	159.3663	218.2741
ACTN2|88	79.536	46.9727	28.4178	209.6889	45.0185	23.5117	117.7196	153.4091	61.2053	108.6822	57.8174	77.0308	54.7038	98.5816	133.6593	52.362	90.3569	84.316	2.6302	9.4808	1.3647	1.0205	3.9312	5.22	11.6535	5.4032	10.5668	1.7901	4.4111	4.8833	1.8975	7.9023	15.2749	16.7785	2.6561	24.1117
ACVR1C|130399	10.7705	8.1419	23.4255	15.3431	11.0701	8.4401	11.4022	11.3636	10.4381	8.8841	35.9405	5.6022	9.7561	38.2979	24.7759	8.5373	47.0767	18.2783	75.7496	27.5395	30.5698	219.9232	45.7002	49.217	12.1714	10.8063	24.4957	16.3348	57.3445	151.9262	32.7324	12.931	16.8024	21.4765	31.8733	230.3299
ACVRL1|94	4350.4557	921.291	3216.9739	2982.2418	3501.845	1126.7521	5916.1787	4471.5909	3875.3879	6379.0833	3100.2604	1960.084	2788.1533	4776.5957	4412.0619	2844.0524	3574.0319	6015.3302	1425.5655	853.7246	950.9382	732.2269	837.8378	456.3758	645.3451	462.5935	861.1912	877.6013	327.3048	470.4286	787.9507	654.454	979.1242	690.604	822.0643	2064.7208
ACY3|91703	16.57	23.1732	5.3763	3.9778	7.3801	12.0573	6.7797	1.6234	6.6424	10.9571	9.3758	4.2017	10.8014	2.1277	3.26	60.3301	2.2779	1.7689	33.6665	14.8984	38.7581	13.7771	96.3145	122.2968	24.8608	41.5628	68.2037	134.0345	58.2267	13.5648	23.7192	31.6092	101.3238	61.0738	47.8099	3.8071
ADAM12|8038	57.1665	103.9662	98.3103	36.9371	25.0923	125.3956	24.6533	41.3961	91.5707	60.708	63.2866	46.9188	245.6446	23.4043	59.3317	134.889	34.1686	58.3726	931.0889	890.7449	3154.9642	1944.611	1219.1646	61.8941	100.4791	27.847	376.0807	2056.3885	243.9347	1158.4373	1948.7666	16.523	728.1059	126.1745	1082.3625	216.3706
ADAM19|8728	342.1707	285.5939	643.2412	348.9132	121.0332	132.0271	387.3652	182.6299	542.782	448.3511	345.3415	187.6751	426.8293	200.0	190.383	1466.1355	112.3766	710.4953	892.6881	1071.7833	2376.5268	584.2507	503.6855	194.6309	308.4294	67.7473	521.6138	995.7485	964.7111	745.5236	1000.4744	100.5747	692.4644	993.9597	620.2003	1209.3909
ADAM23|8745	32.3115	55.7409	29.9539	14.2066	8.8561	54.2577	80.7396	23.539	23.723	56.8583	7.8132	82.6331	32.7526	9.9291	21.5159	13.6596	8.3523	36.5566	33.1405	60.9481	18.8332	7.1437	10.8108	18.6428	18.9046	1.2469	7.2046	34.4596	4.4111	14.1074	13.2827	2.8736	5.6008	22.1477	18.5927	8.2487
ADAM28|10863	116.8186	124.0079	89.4777	105.6968	94.4649	158.5531	37.2881	36.526	63.1032	202.2614	49.2229	25.9104	58.5366	48.227	61.2877	264.0865	34.1686	112.6179	596.5281	683.07	254.9301	142.8735	335.1351	559.2841	320.0829	180.798	641.2104	877.825	102.3379	275.6375	953.9848	103.4483	373.2179	528.8591	322.7167	383.2487
ADAM29|11086	9.942	0.6263	1.1521	8.5239	4.428	0.6029	10.7858	15.4221	6.6424	5.6266	9.3758	4.2017	1.3937	19.1489	7.824	4.5532	3.0372	4.1274	6.8385	10.8352	0.0	0.0	0.4914	0.0	2.0717	1.2469	0.0	1.1188	0.8822	1.6278	2.3719	0.0	3.5642	1.3423	1.3281	1.269
ADAM33|80332	91.135	373.2763	123.2719	82.9663	73.8007	30.746	86.5948	185.8766	152.3016	204.6009	61.7239	107.8431	72.1254	95.7447	75.6316	28.4576	91.8755	85.4953	28.4061	60.0542	14.1931	7.6539	16.2162	11.1857	23.566	9.9751	59.5581	87.7154	29.9956	13.5648	200.3463	14.3678	20.3666	63.7584	19.9208	29.1878
ADAMTS15|170689	69.594	206.6798	124.0399	74.4424	51.6605	73.5494	102.6194	150.974	55.5118	195.4503	46.0976	59.5238	95.122	69.5035	157.7832	54.0694	103.265	73.1132	22.6197	32.0542	45.8547	40.3107	36.3636	21.6257	9.5818	2.9094	8.1652	14.9922	15.4389	54.802	15.6546	14.3678	47.3523	23.4899	14.6086	53.934
ADAMTS16|170690	17.3985	82.0456	17.6651	2.2731	15.4982	17.483	4.3143	37.3377	24.6719	4.1459	3.9066	2.8011	138.676	2.8369	16.2999	1.1383	1.5186	7.0755	401.8937	38.3747	121.7332	429.6412	79.1155	5.9657	67.0724	158.7697	65.8021	331.6178	6.1756	195.8763	153.2258	8.6207	129.8371	20.1342	244.3616	115.4822
ADAMTS17|170691	24.0265	61.3776	26.4977	75.0107	20.6642	43.4062	106.3174	43.0195	123.834	63.6694	48.4416	71.4286	141.115	31.9149	72.3716	44.963	42.5209	54.8349	27.354	19.8646	19.652	16.3284	22.6044	12.6771	7.769	8.7282	51.8732	14.9922	14.9978	18.9908	62.6186	26.5805	179.2261	63.0872	19.9208	36.1675
ADAMTS1|9510	2128.4176	2307.9248	4384.0246	6887.9102	1515.1292	5683.1952	4294.9153	7172.0779	1802.4729	7153.4811	2117.3653	13242.9972	4846.6899	5404.9645	3415.1589	1928.2869	2359.1496	10500.5896	1314.5713	790.9707	698.4647	835.3	829.9754	761.3721	559.8861	207.8138	331.8924	731.2598	174.6802	796.5274	595.351	838.3621	1465.8859	722.8188	1808.807	2121.1929
ADAMTSL3|57188	730.7374	858.6607	329.8771	637.5906	338.7454	402.7129	1032.9738	1132.3052	758.6613	1085.9337	586.768	886.5546	480.4878	812.0567	1044.4988	376.7786	764.6166	721.6981	335.6128	240.6321	29.205	104.6038	100.7371	76.8084	93.487	117.6226	51.8732	66.9053	25.5845	55.3445	41.7457	356.3218	195.5193	183.2215	144.7577	344.5431
ADAMTSL5|339366	53.8525	28.1836	35.7143	31.2544	19.1882	21.7031	13.8675	17.0455	18.0295	38.2016	25.0021	11.2045	25.784	14.8936	11.7359	11.9522	44.0395	10.6132	125.7233	43.3409	85.4316	82.6626	62.8993	233.4079	27.7094	18.2876	61.4793	130.4542	62.1967	106.3483	37.9507	23.7069	18.8391	103.3557	11.9525	8.8832
ADARB2|105	10.7705	6.263	4.6083	8.5239	4.428	3.0143	19.1063	14.6104	9.4892	21.9141	7.8132	6.3025	10.453	14.1844	16.9519	11.383	15.186	2.3585	0.526	12.1896	3.5483	0.0	5.8968	1.4914	1.8128	2.0781	0.0	2.9089	2.2056	4.8833	1.8975	5.0287	3.055	9.396	1.3281	6.3452
ADA|100	79.536	78.2878	149.3856	78.9885	80.4428	39.1861	78.2743	47.0779	118.1405	91.5063	63.2866	60.2241	155.4007	39.0071	19.5599	270.3472	48.5953	129.717	184.1136	203.6117	322.3473	103.0731	152.8256	215.5108	61.6341	46.1347	255.0432	162.9	221.438	86.2724	135.1992	24.4253	142.057	339.5973	338.6533	209.3909
ADCY5|111	93.6205	70.7722	88.7097	77.852	22.1402	52.4491	172.265	86.8506	78.2859	100.3904	42.191	37.8151	47.3868	95.0355	98.4515	84.8036	56.1883	89.033	53.656	105.6433	9.0072	11.2258	13.2678	27.5913	30.817	14.547	16.3305	25.0615	2.2056	13.5648	4.7438	15.0862	61.0998	38.9262	14.6086	35.533
ADCYAP1R1|117	3.314	3.1315	5.7604	3.4096	4.428	4.22	6.1633	10.5519	2.3723	22.2103	8.5945	1.4006	1.0453	6.383	7.824	2.2766	1.5186	12.9717	4.2083	2.2573	0.8188	0.5103	1.9656	0.7457	0.259	0.8313	0.0	0.6713	0.4411	0.0	0.4744	1.4368	3.055	1.3423	1.3281	8.8832
ADH1A|124	172.3364	149.6863	19.0246	136.9513	111.3506	37.3775	64.53	170.4545	59.2268	61.8393	64.8492	139.3207	32.7526	51.773	142.031	47.8088	76.6894	116.1557	20.5155	33.6479	0.2729	0.0	7.8624	3.7286	8.9059	17.872	26.4169	1.3426	0.0	2.713	0.0	17.9598	32.0774	16.7785	2.6561	49.302
ADHFE1|137872	105.2196	181.0014	64.1321	162.5231	103.321	59.6835	96.1479	116.8831	135.2211	111.3474	199.2355	77.7311	103.4843	220.5674	119.9674	113.2612	86.5604	178.066	24.7238	67.7201	30.0239	6.6334	20.6388	17.8971	121.9733	38.2377	146.0134	40.0537	6.1756	28.2149	67.3624	40.9483	12.22	60.4027	27.8891	65.9898
ADRA1A|148	43.9105	16.2839	3.4562	46.0293	19.9262	10.2487	54.5455	99.026	10.4381	37.0171	19.5329	22.409	13.5889	27.6596	94.5395	18.2129	63.022	38.9151	4.7344	4.9661	0.0	1.0205	0.9828	1.4914	1.0359	0.8313	0.4803	0.0	1.7644	0.0	0.9488	5.7471	11.7108	12.7517	0.0	18.401
ADRA1D|146	33.9685	23.7995	17.6651	13.07	25.0923	22.9088	76.7334	47.0779	48.8694	47.0858	22.6582	21.0084	68.6411	45.3901	30.6438	19.9203	44.7988	21.816	13.151	10.3837	5.1859	1.5308	5.8968	38.0313	13.7252	7.8969	3.3622	3.3565	8.8222	5.4259	2.3719	88.3621	13.7475	3.3557	6.6403	15.2284
ADRB1|153	376.1392	294.9885	665.8986	950.135	323.2472	449.7362	538.6749	643.6688	276.6101	856.1315	493.7915	176.4706	152.2648	817.0213	496.8215	269.2089	570.2354	980.5425	16.8332	96.614	7.0966	34.1876	36.855	35.7942	90.6384	21.6126	53.3141	2.9089	2.2056	6.5111	5.2182	243.5345	33.0957	78.5235	5.3122	161.802
ADRB2|154	621.3753	296.2411	619.8157	1320.6421	864.2066	728.2592	1022.188	1208.6039	724.9746	669.8615	765.6893	943.2773	648.0836	1700.0	1014.5069	645.4183	798.7851	1269.4575	92.5829	163.4312	36.3016	25.0029	133.6609	84.2655	140.101	14.1313	325.6484	101.8125	18.9678	33.6408	61.6698	84.7701	187.8819	243.6242	31.8733	239.2132
AFF2|2334	144.1591	80.793	87.5576	74.4424	69.3727	57.8749	201.2327	210.2273	118.615	180.6435	178.14	221.2885	101.0453	252.4823	271.2306	132.0433	201.9742	165.0943	22.0936	286.2302	12.5554	3.5718	22.113	39.5227	200.4402	18.7032	24.976	21.2576	183.9435	53.7168	97.723	66.8103	71.2831	54.3624	38.5135	134.5178
AFF3|3899	628.0033	290.6044	455.0691	1071.7431	356.4576	295.4032	768.2589	796.2662	301.7565	672.2306	853.978	423.6695	451.2195	1496.4539	1146.2103	748.4348	790.4328	948.7028	52.0779	281.2641	18.8332	9.695	85.0123	42.5056	233.847	44.8878	58.5975	22.1526	70.1367	45.5779	32.2581	950.431	162.4236	646.9799	34.5294	388.9594
AG2|387763	1147.4731	279.3309	3285.7143	7803.9494	1023.6162	1793.5192	1784.8998	1255.6818	958.8833	1941.7691	936.7974	2324.93	3487.108	1384.3901	389.8941	1622.6522	3524.6773	3178.066	405.576	292.0993	513.4084	361.7762	342.5061	1045.4884	612.9742	496.675	677.7137	1473.9315	106.749	329.3543	308.8235	216.954	473.5234	363.7584	1370.5498	1052.665
AGBL1|123624	2.4855	4.3841	24.1935	44.3245	5.1661	14.4687	10.1695	10.5519	12.336	16.5837	11.7197	5.6022	24.3902	9.9291	14.3439	9.1064	24.2976	25.3538	0.0	0.9029	0.5459	0.0	2.9484	8.9485	5.1793	1.2469	2.4015	0.0	0.0	5.4259	0.0	2.8736	4.0733	0.6711	0.0	14.5939
AGMAT|79814	9.1135	7.5156	4.9923	5.1144	5.1661	5.4258	5.8552	2.4351	7.1169	4.7382	5.4692	2.8011	5.5749	3.5461	0.0	74.5589	6.0744	5.3066	21.0416	78.1038	44.4899	87.7652	109.0909	278.1506	12.9483	12.0532	64.8415	37.5923	116.4535	110.6891	23.7192	27.2989	97.7597	63.7584	86.3234	46.3198
AGR3|155465	698.4258	4158.6487	2132.4885	2014.4907	3415.4982	4045.8176	414.792	1061.6883	490.5915	958.5949	1679.0473	1098.7395	775.9582	1112.0567	427.0579	502.5612	1297.6462	742.9245	283.0089	132.7314	17.4684	0.0	215.7248	1143.1767	2552.894	1557.7722	1208.4534	338.107	19.85	370.0488	657.0209	4743.5345	752.0367	1230.2013	835.3448	260.1523
AGTR2|186	176.4706	23.1732	832.9493	494.9567	280.4428	1109.8719	142.3729	152.5974	467.8174	619.2221	231.2694	869.0476	2615.331	1619.8582	2300.8965	676.7217	1938.4966	507.0755	2.1042	46.9526	1.6377	0.0	132.1867	965.6972	543.0532	117.207	25.9366	0.8951	1.3233	81.9316	0.9488	505.0287	252.5458	2.0134	90.3075	373.0964
AHNAK2|113146	1246.0646	3583.703	324.5008	602.9266	369.0037	1096.6089	648.3821	695.6169	830.3047	1058.6891	344.5602	472.6891	274.216	639.7163	768.0522	281.7302	868.6409	488.7972	1320.3577	1012.6411	4844.4899	1661.4152	4085.9951	2865.7718	2466.3991	5724.4389	277.6177	2495.1891	3577.4151	1270.7542	3231.4991	4868.5345	1455.1935	300.6711	3261.696	242.3858
AHNAK|79026	51903.0655	65077.8416	44981.5668	83226.5947	30737.2694	43802.8636	67943.6055	109579.5455	67824.0323	75707.6745	57268.0909	45685.5742	38430.3136	78749.6454	86177.6691	27171.8839	73602.8853	58571.934	31404.5239	22131.377	13407.0283	48053.4755	36174.4472	8466.0701	8744.7883	35613.4663	5414.5053	10678.8991	2959.4177	8252.306	14404.1746	29581.1782	17932.2811	9428.1879	14349.6031	26850.2538
AIM1L|55057	62.1375	15.0313	21.1214	8.5239	30.2583	19.8945	51.4638	9.7403	45.0737	6.515	26.5647	7.0028	19.8606	9.9291	9.128	50.0854	0.7593	28.3019	3.1562	20.7675	41.4875	166.3456	261.4251	304.2506	97.6305	55.2785	19.6926	136.9434	55.5801	28.7575	5.2182	133.6207	61.0998	36.9128	55.7782	37.4365
AIM2|9447	32.3115	25.6784	21.1214	10.797	35.4244	11.4544	9.8613	5.6818	14.2338	27.8369	16.4076	3.5014	21.9512	7.8014	11.0839	155.9476	15.9453	33.0189	121.515	184.1986	1155.1006	774.0685	608.3538	7.4571	41.4347	4.5719	173.391	256.2094	1995.5889	58.6001	1945.4459	6.4655	122.1996	191.9463	193.8956	182.7411
AJAP1|55966	4.971	36.9518	13.4409	36.3688	25.8303	5.4258	22.4961	74.6753	14.7083	31.0944	19.5329	2.8011	4.5296	2.8369	18.9079	12.5213	5.3151	33.0189	6.8385	4.0632	7.9154	0.0	4.914	5.22	2.3307	4.1563	8.6455	1.1188	1.7644	12.4797	10.4364	1.4368	3.5642	14.7651	2.6561	8.2487
AK3L1|205	30.6545	113.9871	37.2504	39.2101	41.3284	33.7604	34.5146	38.1494	30.8399	40.8669	21.0955	32.2129	16.3763	12.766	25.4279	16.5054	20.5011	20.6368	531.8254	72.2348	933.1969	722.0217	600.4914	210.2908	30.817	12.0532	88.3766	183.2625	774.1509	186.1096	214.4213	6.4655	213.3401	102.6846	118.1966	294.4162
AK7|122481	157.4151	912.5228	53.3794	292.6552	486.3469	526.2999	166.4099	112.8247	48.3949	274.815	217.2057	80.5322	56.0976	270.2128	88.0196	100.1707	60.7441	107.3113	13.677	148.0813	15.8308	0.5103	32.4324	192.3937	66.8134	21.6126	62.9203	3.804	9.2633	57.5149	19.9241	20.1149	37.6782	76.5101	19.9208	87.5635
AKAP14|158798	13.256	340.7086	0.768	0.0	361.6236	150.7159	47.7658	9.7403	3.7957	50.3433	33.5966	0.7003	5.5749	73.0496	14.9959	30.7342	1.5186	16.5094	0.0	28.4424	0.5459	0.0	8.3538	0.7457	2.5897	0.0	56.196	2.2376	0.8822	0.5426	0.4744	0.7184	0.0	18.7919	2.6561	0.0
AKAP3|10566	33.9685	95.8243	7.2965	21.0257	42.0664	42.8033	24.037	22.7273	16.6061	35.2403	26.5647	18.2073	33.4495	31.2057	28.6879	25.0427	22.0197	16.5094	56.8122	20.316	10.6448	4.0821	37.3464	7.4571	5.4383	4.1563	12.488	15.2159	6.1756	5.4259	20.3985	5.7471	11.2016	20.1342	9.2964	8.2487
AKR1B10|57016	0.8285	0.0	0.384	0.5683	0.0	12.6601	13.8675	2.4351	3.3212	2.3691	0.7813	0.0	0.0	0.7092	8.476	23.9044	3.0372	8.2547	4.2083	0.0	13.3743	6.1232	4.4226	47.7256	1549.1389	170.8229	7.2046	55.0459	0.4411	30.3852	84.9146	63.2184	84.0122	8.7248	14.6086	204.9492
AKR7A3|22977	2.4855	5.0104	3.4562	1.1365	8.1181	3.0143	4.3143	4.0584	2.3723	2.073	6.2505	2.8011	4.1812	4.9645	3.912	3.9841	2.2779	8.2547	12.0989	2.7088	5.4589	25.0029	62.4079	712.9008	79.2438	344.5553	17.7714	4.4753	18.5267	5.4259	9.4877	20.8333	345.723	14.7651	6.6403	86.9289
ALDH1A1|216	4531.0688	7982.8518	3653.6098	6937.9173	8132.8413	7033.0068	4933.4361	3587.6623	4781.1317	5560.265	5805.9564	4813.7255	3887.4564	4441.844	6104.6455	3541.2635	3808.656	3952.8302	1227.7749	2486.6817	522.9614	345.4478	994.1032	10379.5675	910.268	497.9219	4338.1364	945.4017	79.4001	4688.5513	614.8008	728.4483	842.668	3871.8121	1804.8228	3545.0508
