	TCGA-44-6777-11A-01R-1858-07	TCGA-91-6835-11A-01R-1858-07	TCGA-44-2668-11A-01R-1758-07	TCGA-50-5933-11A-01R-1755-07	TCGA-49-6745-11A-01R-1858-07	TCGA-49-6742-11A-01R-1858-07	TCGA-44-2655-11A-01R-1758-07	TCGA-50-5932-11A-01R-1755-07	TCGA-44-2661-11A-01R-1758-07	TCGA-44-3396-11A-01R-1758-07	TCGA-91-6836-11A-01R-1858-07	TCGA-49-6743-11A-01R-1858-07	TCGA-44-2665-11A-01R-1758-07	TCGA-44-6776-11A-01R-1858-07	TCGA-49-6744-11A-01R-1858-07	TCGA-44-2657-11A-01R-1758-07	TCGA-50-5930-11A-01R-1755-07	TCGA-44-6778-11A-01R-1858-07	TCGA-44-6777-01A-11R-1858-07	TCGA-91-6835-01A-11R-1858-07	TCGA-44-2668-01A-01R-0946-07	TCGA-50-5933-01A-11R-1755-07	TCGA-49-6745-01A-11R-1858-07	TCGA-49-6742-01A-11R-1858-07	TCGA-44-2655-01A-01R-0946-07	TCGA-50-5932-01A-11R-1755-07	TCGA-44-2661-01A-01R-1107-07	TCGA-44-3396-01A-01R-1206-07	TCGA-91-6836-01A-21R-1858-07	TCGA-49-6743-01A-11R-1858-07	TCGA-44-2665-01A-01R-0946-07	TCGA-44-6776-01A-11R-1858-07	TCGA-49-6744-01A-11R-1858-07	TCGA-44-2657-01A-01R-1107-07	TCGA-50-5930-01A-11R-1755-07	TCGA-44-6778-01A-11R-1858-07
CNTN1|1272	237.7796	130.8972	177.8034	262.5373	124.7232	306.8576	252.6965	277.5974	139.9656	137.7036	311.7449	215.6863	128.223	241.1348	488.3456	198.0649	48.5953	132.0755	135.718	738.149	12.2825	140.8325	24.57	547.3527	19.4225	5.8188	21.6138	58.8499	26.9078	19.5334	275.6167	12.2126	64.664	59.7315	211.1603	314.7208
CNTN4|152330	82.0215	216.7007	95.2381	102.2873	169.0037	193.5192	201.849	213.474	205.4411	152.2143	178.9213	207.2829	165.8537	230.4965	236.6748	67.1599	110.858	96.6981	26.828	107.9007	15.5578	17.8592	44.7174	54.437	58.0085	12.8845	28.8184	34.0121	81.6056	22.2463	175.5218	78.3046	72.8106	69.1275	50.466	112.3096
CNTN6|27255	290.8036	217.9533	177.0353	384.1455	357.1956	377.3926	283.8213	442.3701	340.6622	361.5831	322.6834	219.1877	311.8467	512.0567	326.6504	254.9801	334.0926	243.5142	14.2031	39.7291	1.6377	0.0	9.3366	18.6428	23.048	1.6625	11.5274	0.8951	0.0	3.7982	2.3719	2.1552	23.9308	8.7248	1.3281	85.0254
CNTNAP3|79937	22.3695	235.4897	29.5699	51.7119	56.0886	89.2238	65.3313	47.8896	59.3075	56.266	35.9405	81.2325	52.6132	47.5177	33.9038	16.5054	57.7069	125.5896	5.2604	38.8262	12.5554	5.6129	81.0811	17.8971	9.8407	2.0781	13.4486	10.5169	31.76	2.1704	44.1176	3.592	7.6375	13.4228	15.9366	22.2081
COCH|1690	27.3405	18.1628	7.2965	3.7733	16.2362	28.3346	6.8783	8.9286	8.5403	20.2913	10.1571	24.8459	8.0139	4.4752	16.9519	40.0057	4.1838	6.9811	65.4655	1326.5869	361.0126	309.6835	799.8378	142.431	24.9722	9.5594	91.7387	1227.1895	261.4292	611.9425	63.7998	18.6782	96.9399	94.1208	278.4128	223.5152
COL1A1|1277	14021.541	21030.6121	8087.1736	1841.1706	2146.8635	21408.8922	9763.02	3720.7792	28451.9325	12482.167	3437.7887	6328.4314	60861.324	1746.0993	6368.7042	5951.0529	1705.391	5259.434	168858.4955	41633.86	209176.3903	150856.6034	99315.9705	12979.1201	9255.4707	10052.7847	13995.6772	128579.7718	16551.3895	80038.5241	196462.5285	11130.0287	71204.1752	36191.2752	123713.3665	12723.9848
COL21A1|81578	170.6711	377.0341	75.2688	245.4894	149.0775	268.8772	448.074	330.3571	377.1956	284.5875	158.6071	283.6134	268.6411	267.3759	395.11	89.926	135.1557	293.0425	381.9043	1355.7562	22.1085	61.2315	83.5381	70.0969	91.6742	50.2909	64.3612	84.5827	20.7322	42.3223	305.5028	56.0345	105.9063	346.3087	26.561	105.3299
COL22A1|169044	3.314	4.3841	3.0722	7.9557	1.476	2.4115	3.3898	1.6234	5.2191	6.8111	9.3758	2.8011	3.1359	3.5461	1.956	13.0905	1.5186	4.717	109.4161	84.8758	20.1979	82.1523	13.2678	1.4914	5.6973	0.4156	28.8184	27.7467	6.6167	18.9908	129.5066	2.1552	49.389	102.6846	31.8733	7.6142
COL29A1|256076	252.6926	327.5562	340.2458	633.6127	107.7491	108.5154	526.9646	413.1494	519.5335	344.9994	272.6792	198.1793	184.669	241.1348	466.8297	375.0711	160.9719	302.4764	286.6912	821.219	53.4971	39.2902	142.9975	26.0999	146.5752	41.5628	210.8549	44.529	20.7322	34.1834	24.6679	189.6552	292.7699	183.8926	37.1855	219.5431
COL3A1|1281	12441.5907	22288.2275	8236.9432	1435.9994	3342.4354	15696.7596	8436.0555	4230.5195	19979.5033	15855.4615	4014.3996	9516.8067	38312.2056	1895.7447	8335.1263	5927.1485	1993.9256	6662.7358	141135.718	29810.3837	175863.798	121678.759	74799.9754	8912.006	10107.2122	9239.8171	17598.463	124558.324	18524.9228	79495.9305	144627.1347	10929.5977	70353.3605	15902.6846	131206.2365	13274.7462
